,Comp Score,Date,Negative Score,Neutral Score,Positive Score,Source,Text
80,0.0,Mon Feb 26 16:52:01 +0000 2018,0.0,1.0,0.0,CBS,"#LivingBiblically's @linzkraft and @jrfergjr appeared on @KCBS's Facebook Live this morning, talking all about what… https://t.co/4RebcHuuMQ"
81,0.0,Mon Feb 26 16:17:55 +0000 2018,0.0,1.0,0.0,CBS,"RT @CBSSports: Introducing CBS Sports HQ, a New 24/7 Direct-to-Consumer Streaming Network for Sports News, Highlights, &amp; Analysis.

Stream…"
82,0.7644,Mon Feb 26 01:12:32 +0000 2018,0.0,0.769,0.231,CBS,"RT @CBSBigBrother: It’s down to the final 5 celebrity Houseguests, and anyone could take home the grand prize! Tune in NOW to watch the #BB…"
83,0.0,Sun Feb 25 21:51:32 +0000 2018,0.0,1.0,0.0,CBS,RT @startrekcbs: Binge the entire first season of #StarTrekDiscovery. All episodes now streaming exclusively on CBS All Access: https://t.c…
84,0.0,Sun Feb 25 21:51:22 +0000 2018,0.0,1.0,0.0,CBS,"RT @thegoodfight: #TheGoodFight returns in 1 week. Season 2 premieres Sunday, March 4. https://t.co/nomCao1GWp https://t.co/BOn6bOe9Tb"
85,0.5093,Fri Feb 23 18:15:40 +0000 2018,0.0,0.845,0.155,CBS,RT @thegoodfight: This is our new favorite thing. Christine Baranski debuted #TheGoodFight the Musical on @colbertlateshow last night! 🎵🎤…
86,0.0,Thu Feb 22 19:26:52 +0000 2018,0.0,1.0,0.0,CBS,"RT @LivinBiblically: Confession time: have YOU ever hit the ""close door"" button in an elevator while somebody was approaching? The cast of…"
87,0.0,Wed Feb 21 19:20:04 +0000 2018,0.0,1.0,0.0,CBS,RT @CBSEyeSpeak: Mark your calendars! #CBSEyeSpeak kicks off March 14 with The EYE Speak Summit. Follow our page for more details! https://…
88,0.6808,Wed Feb 21 18:19:25 +0000 2018,0.0,0.752,0.248,CBS,"RT @CBSEyeSpeak: Proud to announce a new CBS initiative, promoting female empowerment and developing the next generation of leaders through…"
89,0.4404,Tue Feb 20 19:55:19 +0000 2018,0.0,0.884,0.116,CBS,"RT @LivinBiblically: When you're living by the Bible, it's good to have a priest and a rabbi on call (provided they answer their phones, th…"
90,-0.4019,Tue Feb 20 17:58:18 +0000 2018,0.119,0.881,0.0,CBS,"RT @thegoodfight: Chicago lawyers are being hunted and the world is going insane. 

The new season of #TheGoodFight premieres Sunday, March…"
91,0.3612,Tue Feb 20 17:39:51 +0000 2018,0.0,0.872,0.128,CBS,Ready for some larger than life competition? This new series from @MarkBurnettTV will premiere in summer 2018.… https://t.co/gDXHLdIJ5v
92,0.6124,Sat Feb 17 01:07:20 +0000 2018,0.0,0.773,0.227,CBS,"With tournament dreams on the line, make sure to stream these college basketball matchups on CBS All Access:… https://t.co/SGkYUZrQWB"
93,0.3182,Fri Feb 16 18:42:43 +0000 2018,0.0,0.892,0.108,CBS,"RT @LivinBiblically: While Chip's sticking to the Bible's original rules, the cast of #LivingBiblically has given them a more modern makeov…"
94,0.68,Fri Feb 16 17:48:20 +0000 2018,0.0,0.752,0.248,CBS,"Casting News! Peter Mark Kendall, Michael Gaston, Greg Wise, Rade Šerbedžija, Zack Pearlman, and Keye Chen join the… https://t.co/GFob2KrD8H"
95,0.8619,Wed Feb 14 19:23:27 +0000 2018,0.0,0.534,0.466,CBS,RT @BullCBS: The verdict is in...#Bull is the perfect Valentine! ❤️ Happy #ValentinesDay! https://t.co/poEejI4AnC
96,0.0,Tue Feb 13 20:03:56 +0000 2018,0.0,1.0,0.0,CBS,"RT @NoActivityCBS: Car 27 reporting: Season 2 of #NoActivity coming soon!

Binge season one now on CBS All Access: https://t.co/yvxoQMeyhN…"
97,0.7506,Tue Feb 13 18:54:52 +0000 2018,0.0,0.748,0.252,CBS,"RT @LivinBiblically: Against all odds (and the advice of his God Squad), Chip is determined to live life by the Good Book. Think you could…"
98,0.0,Mon Feb 12 18:49:45 +0000 2018,0.0,1.0,0.0,CBS,RT @thegoodfight: Christine Baranski reflects upon the spectacular metamorphosis of her character in #TheGoodFight's first season. Revisit…
99,0.0,Mon Feb 12 01:32:33 +0000 2018,0.0,1.0,0.0,CBS,RT @startrekcbs: Binge the entire first season of #StarTrekDiscovery. All 15 episodes now streaming on CBS All Access: https://t.co/lKLaptP…
